Day,Going1,Going2,Going3,Going4,Going5,Returning1,Returning2,Returning3,Returning4,Returning5
Day1,428,train,ElizabethLine,4,walk,153,walk,ElizabethLine,train,89
Day2,99,train,ElizabethLine,4,walk,56,walk,ElizabethLine,noTrain,99
Day3,89,train,noElizabethLine,noBus,walk,341,walk,noElizabethLine,train,noBus
Day4,noBus,train,ElizabethLine,153,walk,NorthernLine,walk,ElizabethLine,train,428
Day5,428,train,ElizabethLine,noBus,walk,noBus,walk,noElizabethLine,train,99
Day6,99,train,noElizabethLine,56,walk,56,walk,ElizabethLine,train,noBus
Day7,noBus,train,ElizabethLine,153,walk,341,walk,ElizabethLine,train,noBus
Day8,89,train,ElizabethLine,4,walk,56,walk,ElizabethLine,train,noBus
Day9,noBus,train,DLR,4,walk,4,walk,ElizabethLine,train,noBus
Day10,428,train,ElizabethLine,153,walk,4,HammersmithLine,DLR,noTrain,99
Day11,99,train,DLR,56,walk,4,walk,ElizabethLine,train,428
Day12,noBus,train,ElizabethLine,noBus,walk,341,walk,ElizabethLine,train,428
Day13,89,train,ElizabethLine,noBus,walk,NorthernLine,walk,noElizabethLine,train,428
Day14,noBus,train,noElizabethLine,noBus,walk,noBus,walk,noElizabethLine,train,428
Day15,noBus,train,ElizabethLine,noBus,walk,noBus,walk,noElizabethLine,train,89
Day16,428,train,ElizabethLine,noBus,walk,NorthernLine,walk,DLR,noTrain,89
Day17,428,train,ElizabethLine,4,walk,noBus,walk,ElizabethLine,train,99
Day18,428,train,ElizabethLine,56,walk,4,CircleLine,noElizabethLine,train,99
Day19,428,train,ElizabethLine,4,walk,341,HammersmithLine,noElizabethLine,train,99
Day20,99,train,ElizabethLine,153,walk,153,walk,noElizabethLine,train,noBus
Day21,99,noTrain,DLR,153,walk,56,walk,ElizabethLine,train,noBus
Day22,428,train,ElizabethLine,56,walk,153,walk,ElizabethLine,train,noBus
Day23,428,train,ElizabethLine,4,walk,153,CircleLine,ElizabethLine,noTrain,99
Day24,428,train,ElizabethLine,4,walk,4,walk,DLR,train,89
Day25,428,train,ElizabethLine,4,walk,153,walk,noElizabethLine,train,89
Day26,99,noTrain,ElizabethLine,153,walk,341,HammersmithLine,noElizabethLine,train,428
Day27,noBus,train,ElizabethLine,153,walk,noBus,walk,ElizabethLine,noTrain,99
Day28,noBus,train,ElizabethLine,153,walk,noBus,walk,ElizabethLine,train,noBus
Day29,noBus,train,ElizabethLine,153,walk,4,walk,ElizabethLine,train,noBus
Day30,99,noTrain,ElizabethLine,153,walk,341,walk,ElizabethLine,train,noBus
